fog,first_detection_time_s,first_detection_range_m,warning_time_s,collision_time_s
clear,1.5000000000000002,5732.680562438359,9.099999999999984,33.3000000000002
light,21.90000000000004,2057.9447954819016,21.90000000000004,33.3000000000002
moderate,33.1000000000002,50.30215440563606,,33.3000000000002
dense,33.3000000000002,0.0,24.70000000000008,33.3000000000002
